M195	24305	9157	12137	68	1687	29939	5035
M349	11082	9460	16558	70	1248	45964	5062
M245	86805	22100	29380	117	2014	54382	23378
M328	128130	67673	140625	346	11792	434587	46872
M159	3819	1359	2211	3	233	4269	823
M325	126150	33741	43155	84	4620	82467	30695
M323	33084	9148	12055	49	747	21755	7959
M136	6641	2262	3486	6	814	8379	1310
M071	2192	257	163	0	10	208	449
M118	18412	6702	8978	26	1172	18818	3308
M269	23177	15421	35594	52	3516	113638	13276
M345	933	674	872	4	38	1634	488
M346	551	218	306	4	6	546	220
M347	89977	45096	56822	376	6728	112684	49810
M113	3712	1361	2205	284	154	5505	976
M260	26217	5380	6287	232	516	11207	8275
M082	49117	16199	19287	66	1021	42951	7334
M081	8065	3007	2845	8	159	6335	817
M085	610	243	477	3	29	1237	155
M089	19199	7168	11158	28	811	28023	4528
M231	69648	22223	28726	119	3967	58585	14121
M023	19858	7038	11893	55	627	27812	6896
M178	42935	13747	18789	19	1568	38399	9329
M317	35632	12143	18074	74	4078	42425	7149
M237	403	94	56	0	0	118	57
M331	1849	364	490	2	31	700	303
M319	15596	4970	8510	65	1888	19026	3629
M318	2733	972	1807	5	372	4405	638
M334	101823	47936	60728	220	5958	106584	53224
M149	7485	3880	7005	17	516	23877	2811
M296	5323	1746	1817	55	136	4153	1181
M100	51391	17793	29305	54	2310	89941	8688
M287	5843803	1625500	2276125	10575	190773	4826415	1454534
M274	1164	301	186	0	16	424	177
M352	18650	0	0	0	0	0	0
M273	1291	156	209	1	10	288	728
M332	568	234	262	0	64	426	82
Header	cds	pseudogene	lncrna	rrna	smallrna	utrs_3p	utrs_5p
M233	4067	1315	2244	9	123	4144	850
M353_0.6.txt	286	0	0	0	0	0	0
